time,stockX,stockY,stockZ
52.3,16.419876,-25.182283,22.276957
52.399998,16.388716,-25.198849,22.275393
52.5,16.35775,-25.215351,22.273804
52.6,16.326982,-25.231787,22.272188
52.7,16.296408,-25.248167,22.270552
52.8,16.266018,-25.264482,22.268888
52.899998,16.235817,-25.28074,22.267197
53.0,16.205795,-25.296946,22.265484
53.1,16.175953,-25.313093,22.26374
53.2,16.146278,-25.329191,22.261967
53.3,16.116783,-25.345234,22.260168
53.399998,16.087448,-25.36123,22.258337
53.5,16.05828,-25.377176,22.25648
53.6,16.029276,-25.393076,22.254591
53.7,16.000427,-25.408928,22.252668
53.8,15.971733,-25.424738,22.25072
53.899998,15.9431925,-25.440504,22.248735
54.0,15.914801,-25.456228,22.246716
54.1,15.886557,-25.471912,22.244667
54.2,15.858453,-25.487558,22.242584
54.3,15.830494,-25.503164,22.240465
54.399998,15.80269,-25.51872,22.238367
54.5,15.7750025,-25.534252,22.23618
54.6,15.747451,-25.549753,22.233957
54.7,15.720029,-25.565218,22.231695
54.8,15.692737,-25.580654,22.229397
54.899998,15.665569,-25.596058,22.227058
55.0,15.638526,-25.61143,22.22468
55.1,15.611605,-25.626776,22.22226
55.2,15.584803,-25.642092,22.219797
55.3,15.558118,-25.657381,22.217295
55.399998,15.531549,-25.672646,22.214745
55.5,15.505092,-25.687885,22.212152
55.6,15.478747,-25.703098,22.209513
55.7,15.45251,-25.718292,22.20683
55.8,15.426384,-25.733461,22.204094
55.899998,15.400361,-25.748611,22.201315
56.0,15.374442,-25.763739,22.198483
56.1,15.348626,-25.778849,22.195604
56.2,15.322907,-25.793938,22.19267
56.3,15.297291,-25.809011,22.189688
56.399998,15.2717705,-25.824066,22.186647
56.5,15.246345,-25.839108,22.183556
56.6,15.221014,-25.854134,22.180407
56.7,15.195773,-25.869143,22.177202
56.8,15.170627,-25.884138,22.173939
56.899998,15.145568,-25.899118,22.17062
57.0,15.120599,-25.914091,22.167234
57.1,15.095715,-25.929047,22.163795
57.2,15.070916,-25.943996,22.160286
57.3,15.046205,-25.958933,22.15672
57.399998,15.021574,-25.973858,22.153084
57.5,14.997026,-25.988775,22.149385
57.6,14.972559,-26.003683,22.14562
57.7,14.9481735,-26.018585,22.141785
57.8,14.923853,-26.033428,22.13784
57.899998,14.899621,-26.048311,22.133863
58.0,14.875464,-26.063189,22.129812
58.1,14.851385,-26.078056,22.125687
58.2,14.827378,-26.092922,22.12149
